"OrganizationIdentifier","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityEndTime.Time","MonitoringLocationIdentifier","HydrologicEvent","HydrologicCondition","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultStatusIdentifier","ResultValueTypeName"
"USGS-NC",1985-04-30,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","6.2","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Total","6.4","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Total","7.2","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.09","Historical","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Phosphorus","Dissolved","0.13","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Phosphorus","Dissolved","0.16","Historical","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Phosphorus","Dissolved","0.17","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","0.18","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Phosphorus","Dissolved","2.5","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Phosphorus","Dissolved","2.8","Historical","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.2","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","5.3","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Phosphorus","Dissolved","6","Historical","Actual"
"USGS-NC",2011-09-02,"12:55:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Gage height","","0.08","Preliminary","Actual"
"USGS-NC",2011-07-20,"11:00:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Gage height","","0.08","Preliminary","Actual"
"USGS-NC",2012-06-29,"12:40:00",NA,"","USGS-0208675010","Routine sample","Stable, normal stage","Gage height","","0.09","Preliminary","Actual"
"USGS-NC",2012-01-30,"11:50:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Gage height","","0.1","Preliminary","Actual"
"USGS-NC",2011-11-28,"11:30:00",NA,"","USGS-0208675010","Routine sample","Stable, low stage","Gage height","","0.1","Preliminary","Actual"
"USGS-NC",2011-12-29,"11:15:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Gage height","","0.12","Preliminary","Actual"
"USGS-NC",2011-09-28,"11:45:00",NA,"","USGS-0208675010","Routine sample","Falling stage","Gage height","","0.14","Preliminary","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Gage height","","0.26","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Gage height","","0.26","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.26","Historical","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Gage height","","0.26","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Gage height","","0.27","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.28","Historical","Actual"
"USGS-NC",1993-08-12,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.44","Historical","Actual"
"USGS-NC",2014-06-10,"9:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.49","Accepted","Actual"
"USGS-NC",2014-05-29,"12:20:00",NA,"","USGS-02086849","Routine sample","Not determined","Gage height","","0.49","Accepted","Actual"
"USGS-NC",2014-05-12,"16:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Gage height","","0.49","Accepted","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Gage height","","0.53","Historical","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Gage height","","0.89","Accepted","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Gage height","","1.01","Historical","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Gage height","","1.31","Accepted","Actual"
"USGS-NC",2014-04-15,"10:50:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Gage height","","1.35","Accepted","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Gage height","","1.52","Accepted","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Gage height","","2.42","Accepted","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Gage height","","2.97","Accepted","Actual"
"USGS-NC",2018-03-27,"11:30:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","2.79","Accepted","Actual"
"USGS-NC",2018-03-27,"9:30:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Dissolved","3.23","Accepted","Actual"
"USGS-NC",2016-07-12,"11:20:00",NA,"","USGS-360211078513701","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","0.88","Accepted","Actual"
"USGS-NC",2016-07-12,"10:25:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.73","Accepted","Actual"
"USGS-NC",2016-07-12,"14:10:00",NA,"","USGS-02086843","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.78","Accepted","Actual"
"USGS-NC",2016-07-12,"14:40:00",NA,"","USGS-02086845","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.79","Accepted","Actual"
"USGS-NC",2016-07-12,"13:00:00",NA,"","USGS-02086839","Routine sample","Stable, normal stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","1.82","Accepted","Actual"
"USGS-NC",2014-04-15,"10:50:00",NA,"","USGS-02086849","Routine sample","Stable, high stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","2.84","Accepted","Actual"
"USGS-NC",2014-06-10,"9:30:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.13","Accepted","Actual"
"USGS-NC",2014-05-12,"16:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","3.3","Accepted","Actual"
"USGS-NC",2014-05-29,"12:20:00",NA,"","USGS-02086849","Routine sample","Not determined","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","Total","4.29","Accepted","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","124","Accepted","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","146","Accepted","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","161","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","184","Historical","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","187","Historical","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","201","Historical","Actual"
"USGS-NC",2016-07-12,"14:10:00",NA,"","USGS-02086843","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","218","Accepted","Actual"
"USGS-NC",2016-07-12,"14:40:00",NA,"","USGS-02086845","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","219","Accepted","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","221","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","225","Historical","Actual"
"USGS-NC",1985-10-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","226","Historical","Actual"
"USGS-NC",2016-07-12,"10:25:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","227","Accepted","Actual"
"USGS-NC",2016-07-12,"13:00:00",NA,"","USGS-02086839","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","237","Accepted","Actual"
"USGS-NC",1984-07-24,"12:30:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","256","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","259","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","266","Historical","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","273","Historical","Actual"
"USGS-NC",1985-03-26,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","282","Historical","Actual"
"USGS-NC",1985-04-30,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","288","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","299","Historical","Actual"
"USGS-NC",1986-06-18,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","306","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","310","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","311","Historical","Actual"
"USGS-NC",1985-09-24,"14:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","314","Historical","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","317","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","329","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","36","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","364","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Total dissolved solids","Dissolved","46","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","49","Historical","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","60","Accepted","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","63","Historical","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","69","Historical","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","74","Historical","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","81","Historical","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","89","Historical","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","93","Accepted","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","101","Accepted","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","133","Accepted","Actual"
"USGS-NC",1985-03-26,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","135","Historical","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","151","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","154","Historical","Actual"
"USGS-NC",1985-10-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","167","Historical","Actual"
"USGS-NC",2018-03-27,"9:30:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","185","Accepted","Actual"
"USGS-NC",2018-03-27,"11:30:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","186","Accepted","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","187","Historical","Actual"
"USGS-NC",1985-09-24,"14:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","195","Historical","Actual"
"USGS-NC",1984-07-24,"12:30:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","201","Historical","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","205","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","211","Historical","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","211","Historical","Actual"
"USGS-NC",1985-04-30,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","216","Historical","Actual"
"USGS-NC",2016-07-12,"10:25:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","221","Accepted","Actual"
"USGS-NC",2016-07-12,"14:40:00",NA,"","USGS-02086845","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","223","Accepted","Actual"
"USGS-NC",2016-07-12,"14:10:00",NA,"","USGS-02086843","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","224","Accepted","Actual"
"USGS-NC",2016-07-12,"13:00:00",NA,"","USGS-02086839","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","225","Accepted","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","240","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","244","Historical","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","246","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","254","Historical","Actual"
"USGS-NC",1986-06-18,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","256","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","262","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","285","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","293","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","30","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","314","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","344","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","35","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Total dissolved solids","Dissolved","35","Historical","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","38","Accepted","Estimated"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","41","Historical","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","47","Accepted","Estimated"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","51","Historical","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","55","Historical","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","63","Historical","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","70","Accepted","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","71","Historical","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","100","Accepted","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","101","Historical","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","11.9","Historical","Actual"
"USGS-NC",1984-07-24,"12:30:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","12.4","Historical","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","136","Accepted","Actual"
"USGS-NC",1985-03-26,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","13.7","Historical","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","169","Accepted","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","17.5","Historical","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","178","Accepted","Estimated"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","208","Historical","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","20.8","Historical","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","262","Historical","Actual"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Total dissolved solids","Dissolved","270","Historical","Actual"
"USGS-NC",1986-10-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","2.87","Historical","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","309","Accepted","Actual"
"USGS-NC",1985-10-23,"10:45:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","3.3","Historical","Actual"
"USGS-NC",1986-11-24,"8:30:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","3.54","Historical","Actual"
"USGS-NC",1984-05-21,"11:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","4.62","Historical","Actual"
"USGS-NC",1987-05-18,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","4.87","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","4.89","Historical","Actual"
"USGS-NC",1986-09-23,"10:15:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","4.89","Historical","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","53.5","Historical","Actual"
"USGS-NC",1985-04-30,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","5.37","Historical","Actual"
"USGS-NC",1986-06-18,"10:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","5.7","Historical","Actual"
"USGS-NC",1986-05-28,"9:30:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","6.54","Historical","Actual"
"USGS-NC",1982-11-17,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","6.68","Historical","Actual"
"USGS-NC",1983-09-07,"12:50:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","7.08","Historical","Actual"
"USGS-NC",1984-12-19,"9:20:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","7.2","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","7.95","Historical","Actual"
"USGS-NC",1985-09-24,"14:00:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","8.48","Historical","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","85.3","Historical","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","89.4","Historical","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","9.59","Historical","Actual"
"USGS-NC",1983-05-09,"13:45:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","9.79","Historical","Actual"
"USGS-NC",1985-08-18,"19:45:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","0.05","Historical","Actual"
"USGS-NC",2009-11-11,"11:00:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","0.06","Accepted","Estimated"
"USGS-NC",1985-11-21,"15:00:00",NA,"","USGS-02086849","Flood","Falling stage","Total dissolved solids","Dissolved","0.06","Historical","Actual"
"USGS-NC",1982-12-16,"9:45:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","0.07","Historical","Actual"
"USGS-NC",2008-09-26,"11:15:00",NA,"","USGS-02086849","Storm","Falling stage","Total dissolved solids","Dissolved","0.08","Accepted","Actual"
"USGS-NC",1983-12-06,"10:05:00",NA,"","USGS-02086849","Flood","Rising stage","Total dissolved solids","Dissolved","0.09","Historical","Actual"
"USGS-NC",1987-04-16,"11:00:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.09","Historical","Actual"
"USGS-NC",1982-12-16,"14:40:00",NA,"","USGS-02086849","Routine sample","Not determined","Total dissolved solids","Dissolved","0.1","Historical","Actual"
"USGS-NC",1987-02-24,"9:15:00",NA,"","USGS-02086849","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.11","Historical","Actual"
"USGS-NC",1985-05-23,"8:55:00",NA,"","USGS-02086849","Routine sample","Falling stage","Total dissolved solids","Dissolved","0.12","Historical","Actual"
"USGS-NC",2009-01-06,"11:15:00",NA,"","USGS-02086849","Storm","Peak stage","Total dissolved solids","Dissolved","0.13","Accepted","Actual"
"USGS-NC",2011-05-14,"17:15:00",2011-05-14,"17:30:59","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","0.17","Accepted","Actual"
"USGS-NC",2006-01-18,"9:30:00",NA,"","USGS-02086849","Storm","Rising stage","Total dissolved solids","Dissolved","0.2","Accepted","Actual"
"USGS-NC",1984-03-28,"10:55:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.22","Historical","Actual"
"USGS-NC",1985-12-17,"9:35:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.25","Historical","Actual"
"USGS-NC",1984-12-04,"14:40:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.25","Historical","Actual"
"USGS-NC",2018-03-27,"9:30:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.25","Accepted","Actual"
"USGS-NC",2018-03-27,"11:30:00",NA,"","USGS-02086837","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.25","Accepted","Actual"
"USGS-NC",1985-02-20,"15:50:00",NA,"","USGS-02086849","Routine sample","Rising stage","Total dissolved solids","Dissolved","0.27","Historical","Actual"
"USGS-NC",1986-07-28,"9:45:00",NA,"","USGS-02086849","Routine sample","Stable, low stage","Total dissolved solids","Dissolved","0.3","Historical","Actual"
"USGS-NC",2016-07-12,"14:40:00",NA,"","USGS-02086845","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.3","Accepted","Actual"
"USGS-NC",2016-07-12,"14:10:00",NA,"","USGS-02086843","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.3","Accepted","Actual"
"USGS-NC",2016-07-12,"10:25:00",NA,"","USGS-02086833","Routine sample","Stable, normal stage","Total dissolved solids","Dissolved","0.31","Accepted","Actual"
